"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"04-AUG-2026","ADANIPOWER","Adani Power Limited","ADANI INFRA (INDIA) LIMITED","BUY","12,48,00,000","210.50",
"04-AUG-2026","ADANIPOWER","Adani Power Limited","ARDOUR INVESTMENT HOLDING LTD","SELL","12,48,00,000","210.50",
"04-AUG-2026","BAJAJ-AUTO","Bajaj Auto Limited","ARYAMAN FAMILY TRUST","SELL","25,000","11,600.00",
"04-AUG-2026","BAJAJ-AUTO","Bajaj Auto Limited","BACHHRAJ & CO PRIVATE LIMITED","BUY","25,000","11,600.00",
"04-AUG-2026","MEESHO","Meesho Limited","ABS DIRECT EQUITY FUND LLC - INDIA SERIES 1","BUY","32,500","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ABU DHABI INVESTMENT AUTHORITY","BUY","21,23,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","88,21,600","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ASHOKA INDIA EQUITY INVESTMENT TRUST PLC","BUY","13,50,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ASHOKA WHITEOAK EMERGING MARKETS EQUITY EX CHINA FUND","BUY","3,48,200","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ASHOKA WHITEOAK ICAV - ASHOKA WHITEOAK INDIA ESG FUND","BUY","9,800","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ASHOKA WHITEOAK ICAV - ASHOKA WHITEOAK INDIA OPPORTUNITIES FUND","BUY","6,15,600","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ASHOKA WHITEOAK ICAV-ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND","BUY","15,68,600","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","AXIS MUTUAL FUND","BUY","1,06,50,800","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED","BUY","53,00,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","BNP PARIBAS FINANCIAL MARKETS","BUY","41,00,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","DENDANA INVESTMENTS MAURITIUS LIMITED","BUY","2,94,804","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","DENDANA INVESTMENTS MAURITIUS LIMITED","BUY","68,100","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","EASTSPRING INVESTMENTS - ASIA OPPORTUNITIES EQUITY FUND","BUY","5,00,667","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","EDELWEISS MUTUAL FUND","BUY","26,02,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ELEVATION CAPITAL V LIMITED","SELL","5,24,00,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FACTORY MUTUAL INSURANCE COMPANY","BUY","1,10,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FGTFEBP:FIAM EMERGING MARKETS OPPORTUNITIES COMMINGLED POOL","BUY","10,17,300","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY CENT INVST PORT LLC FIDELITY EMERGING MARKETS EQUITY CENTRAL FUND","BUY","3,68,900","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY EMERGING MARKETS EQUITY MULTI-ASSET BASE FUND","BUY","90,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY EMERGING MARKETS OPPORTUNITIES INSTITUTIONAL TRUST","BUY","96,800","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY FUNDS.- INDIA FOCUS FUND","BUY","84,07,738","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY INDIA FUND","BUY","7,40,458","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY INVESTMENT TRUST FIDELITY SERIES EMERGING MARKETS OPPOR FUND","BUY","34,21,800","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY RUTLAND SQUARE TRUST II STRATEGIC ADVISERS FID EMG MARKETS FUND","BUY","71,700","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FIDELITY RUTLAND SQUARE TRUST II: STRATEGIC ADVISERS EMERGING MARKETS FUND","BUY","10,200","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","FRANKLIN TEMPLETON MUTUAL FUND","BUY","42,09,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","GHISALLO MASTER FUND LP","BUY","62,00,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","GOLDMAN SACHS BANK EUROPE SE","BUY","21,58,350","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","HSBC MUTUAL FUND","BUY","53,58,800","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED","BUY","36,00,800","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","INDIA ACORN FUND LTD","BUY","4,48,600","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","KOTAK MAHINDRA MUTUAL FUND","BUY","13,45,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","13,45,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","39,58,350","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","NRSGVCC","BUY","41,00,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","PEAK XV PARTNERS INVESTMENTS V","SELL","5,24,00,000","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","PRUDENTIAL HONG KONG LIMITED","BUY","10,01,333","186.00",
"04-AUG-2026","MEESHO","Meesho Limited","SOCIETE GENERALE","BUY","1,12,00,000","186.00",
