"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"18-AUG-2026","PAYTM","One 97 Communications Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","15,354","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","4,606","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","30,005","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","80,014","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","ADITYA BIRLA SUN LIFE MUTUAL FUND","BUY","1,20,021","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","BNP PARIBAS FINANCIAL MARKETS - ODI","BUY","2,00,000","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","GHISALLO MASTER FUND LP","BUY","1,90,000","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","GOLDMAN SACHS BANK EUROPE SE","BUY","22,55,000","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","HDFC MUTUAL FUND","BUY","81,428","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","HDFC MUTUAL FUND.","BUY","81,428","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","HSBC MUTUAL FUND","BUY","1,70,497","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","HSBC MUTUAL FUND","BUY","6,04,503","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","HSBC MUTUAL FUND","BUY","1,55,000","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED","BUY","4,60,000","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","INTEGRATED CORE STRATEGIES (ASIA) PTE. LTD.","BUY","9,30,000","1,535.10",
"18-AUG-2026","PAYTM","One 97 Communications Ltd","KOTAK MAHINDRA MUTUAL FUND","BUY","1,90,000","1,535.10",
